Algorithm,ExecuteTime,ExploredCells,TotalPath,ShortestPath,Length,MapType,Success
depthFirst,0.0,13,13,14,10,BaseMap,True
breadthFirst,0.0,34,34,8,10,BaseMap,True
bestFirst,0.0009980201721191406,12,12,13,10,BaseMap,True
greedyBestFirst,0.0,8,8,9,10,BaseMap,True
AStar,0.0010232925415039062,8,8,9,10,BaseMap,True
depthFirst,0.0,12,12,13,10,ParabolicMap,True
breadthFirst,0.000972747802734375,73,73,7,10,ParabolicMap,True
bestFirst,0.0010149478912353516,12,12,13,10,ParabolicMap,True
greedyBestFirst,0.0,9,9,8,10,ParabolicMap,True
AStar,0.0,9,9,8,10,ParabolicMap,True
depthFirst,0.0009851455688476562,10,21,22,10,VaryingMap,True
breadthFirst,0.0010066032409667969,89,175,21,10,VaryingMap,True
bestFirst,0.0009944438934326172,43,43,15,10,VaryingMap,True
greedyBestFirst,0.0,11,25,22,10,VaryingMap,True
AStar,0.001529693603515625,17,24,22,10,VaryingMap,True
depthFirst,0.0,8,8,8,10,LimitMap,True
breadthFirst,0.0,33,33,8,10,LimitMap,True
bestFirst,0.0,17,17,15,10,LimitMap,True
greedyBestFirst,0.0,8,8,8,10,LimitMap,True
AStar,0.0,8,8,8,10,LimitMap,True
depthFirst,0.0,87,170,27,10,IdealMap,True
breadthFirst,0.0010001659393310547,124,241,16,10,IdealMap,True
bestFirst,0.0009970664978027344,97,140,15,10,IdealMap,True
greedyBestFirst,0.0,7,14,17,10,IdealMap,True
AStar,0.0,7,12,15,10,IdealMap,True
depthFirst,0.0009951591491699219,14,14,14,10,BaseMap,True
breadthFirst,0.0,46,46,9,10,BaseMap,True
bestFirst,0.0,14,14,15,10,BaseMap,True
greedyBestFirst,0.0,10,10,10,10,BaseMap,True
AStar,0.0,10,10,10,10,BaseMap,True
depthFirst,0.0009989738464355469,15,15,16,10,ParabolicMap,True
breadthFirst,0.002001523971557617,109,109,9,10,ParabolicMap,True
bestFirst,0.0,15,15,16,10,ParabolicMap,True
greedyBestFirst,0.0015063285827636719,15,15,13,10,ParabolicMap,True
AStar,0.0013811588287353516,15,15,13,10,ParabolicMap,True
depthFirst,0.0,5,8,11,10,VaryingMap,True
breadthFirst,0.0,49,94,15,10,VaryingMap,True
bestFirst,0.0,17,17,7,10,VaryingMap,True
greedyBestFirst,0.0014083385467529297,6,11,14,10,VaryingMap,True
AStar,0.0,9,12,13,10,VaryingMap,True
depthFirst,0.0,7,7,7,10,LimitMap,True
breadthFirst,0.0012309551239013672,25,25,6,10,LimitMap,True
